Name,Tm,R,HR,RBI,SB,OBP
Zach Dezenzo,Houston,17,2,10,1,0.321
Elias D\xc3\xadaz,San Diego,34,9,29,0,0.27
Yainer Diaz,Houston,56,20,70,1,0.284
Yandy D\xc3\xadaz,Tampa Bay,79,25,83,3,0.366
Dillon Dingler,Detroit,57,14,59,0,0.325
Jasson Dom\xc3\xadnguez,New York,59,10,47,23,0.333
Brendan Donovan,St. Louis,64,10,50,3,0.353
Brenton Doyle,Colorado,57,15,57,18,0.274
Mauricio Dub\xc3\xb3n,Houston,43,7,33,3,0.289
Blake Dunn,Cincinnati,10,1,7,1,0.32
Oliver Dunn,Milwaukee,4,0,6,1,0.205
Ezequiel Duran,Texas,16,0,14,11,0.266
Jarren Duran,Boston,87,16,84,24,0.33
Caleb Durbin,Milwaukee,63,11,55,21,0.336
Nate Eaton,Boston,16,1,4,9,0.358
Tommy Edman,Los Angeles,54,15,57,3,0.271
Xavier Edwards,Miami,75,3,43,27,0.343
Bryce Eldridge,San Francisco,1,0,4,0,0.297
Tim Elko,Chicago,6,4,8,1,0.194
Jerar Encarnacion,San Francisco,5,2,7,1,0.214
Christian Encarnacion-Strand,Cincinnati,13,6,19,0,0.234
Tristin English,Arizona,0,0,1,0,0.13
J.C. Escarra,New York,5,2,11,1,0.296
Santiago Espinal,Cincinnati,25,0,16,2,0.292
Thairo Estrada,Colorado,14,3,21,1,0.285
Stuart Fairchild,Atlanta,7,0,2,2,0.273
Kyle Farmer,Colorado,24,8,31,0,0.28
Hunter Feduccia,"Los Angeles,Tampa Bay",5,0,8,1,0.267
Freddy Fermin,"Kansas City,San Diego",32,5,26,1,0.299
Jos\xc3\xa9 Ferm\xc3\xadn,St. Louis,5,1,9,2,0.377
Yanquiel Fern\xc3\xa1ndez,Colorado,13,4,11,0,0.265
Ryan Fitzgerald,Minnesota,10,4,9,1,0.302
Tyler Fitzgerald,San Francisco,19,4,14,9,0.278
Dominic Fletcher,Chicago,5,1,2,1,0.265
Rafael Flores,Pittsburgh,0,0,0,0,0.294
Wilmer Flores,San Francisco,44,16,71,1,0.307
Harry Ford,Seattle,1,0,1,0,0.333
Nick Fortes,"Miami,Tampa Bay",19,5,21,1,0.296
Justin Foscue,Texas,0,0,2,0,0.111
Jake Fraley,"Atlanta,Cincinnati",31,6,23,4,0.332
Ty France,"Minnesota,Toronto",50,7,53,1,0.32
Adam Frazier,"Kansas City,Pittsburgh",43,7,44,8,0.319
Alex Freeland,Los Angeles,10,2,6,1,0.292
Cody Freeman,Texas,13,3,15,1,0.258
Freddie Freeman,Los Angeles,88,26,93,7,0.364
Tyler Freeman,Colorado,50,2,31,18,0.354
Sal Frelick,Milwaukee,78,12,64,20,0.343
TJ Friedl,Cincinnati,82,14,53,12,0.363
David Fry,Cleveland,16,8,23,1,0.229
Braxton Fulford,Colorado,11,1,16,1,0.267
Adolis Garc\xc3\xada,Texas,58,19,75,13,0.271
